get,4345
close,634
midnight,26
still,1306
dinner,1385
sip,32
margarita,188
loung,77
instead,544
one,3929
option,921
head,279
quick,628
nosh,9
got,2505
pastrami,59
rye,33
i,343
felt,554
need,1146
add,288
on,279
order,6126
sure,1206
vega,736
might,498
tri,3446
serv,1469
wonder,299
bread,933
certainli,204
best,1446
deli,94
had,278
pinch,31
tabl,2208
next,937
wall,232
want,2195
peopl,1494
watch,347
fress,1
saw,328
restaur,3187
whim,15
look,2080
good,9403
indian,213
food,8775
place,7073
decid,761
opt,157
deliveri,155
not,346
usual,752
judg,68
base,315
time,4534
favourit,83
butter,263
chicken,2617
down,266
surpass,6
asid,116
dish,1847
also,2464
tikka,35
masala,46
garlic,381
naan,82
alright,253
tast,2432
better,1855
elsewher,120
realli,3864
them,480
yummi,239
gener,455
mango,127
lassi,10
didnt,145
like,5974
version,117
much,2134
think,1922
ill,702
skip,115
anyway,289
yet,321
futur,99
give,1568
three,576
star,1885
reason,757
rate,391
arriv,598
late,386
glad,131
wait,2002
littl,2471
bit,1934
complain,188
that,1520
decent,1339
would,3988
again,893
came,2298
clockwork,2
coffe,709
share,398
space,275
behind,200
bar,1650
super,609
friendli,1235
educ,11
us,2199
pour,239
great,3491
tell,412
explain,152
finer,4
detail,65
process,90
pretti,2775
pricey,325
amaz,613
person,693
go,4106
back,3007
excel,472
servic,4491
et,209
tr,45
bonn,26
nourritur,12
ce,46
repa,10
du,91
midi,8
boulett,3
de,470
poulet,11
dan,61
une,71
sauc,1940
tomat,5
fort,16
goteus,3
avec,46
piment,3
champignon,9
patat,4
rti,1
goteux,3
raisonn,1
comm,16
portion,1138
dhte,3
soup,1060
dessert,853
incluant,3
le,307
caf,41
bon,58
rapport,8
qualit,10
prix,44
me,1032
arrt,1
au,113
barb,3
nou,34
avon,13
vcu,1
petit,46
dception,2
entr,62
taient,5
plutt,10
russi,2
duo,4
crab,381
cake,416
tait,51
savoureux,3
gotait,1
vraiment,18
crabe,1
un,200
critr,2
rarement,1
respect,44
resto,35
alor,5
que,82
chvre,3
chaud,4
mai,96
beaucoup,7
trop,34
sucr,4
mon,50
avi,5
pomm,21
cuit,4
miel,1
caramel,104
balsamiqu,1
cest,43
davantag,2
plat,25
princip,8
notr,14
exprienc,6
tartar,77
saumon,4
boeuf,5
manquait,6
saveur,9
ntait,6
pa,96
relev,5
insipid,2
la,488
salad,1750
daccompagn,1
baignait,1
encor,10
foi,23
sa,5
vinaigrett,47
qui,50
rend,4
imposs,39
manger,24
frite,45
sont,37
ordinair,8
ne,39
gotent,1
gra,50
textur,212
sche,2
part,529
ravioli,83
cerf,1
aux,19
lhuil,1
truff,2
concentr,6
en,76
jessayai,1
denlev,1
pte,2
avant,8
prendr,12
bouch,11
nest,12
peu,47
dire,9
point,553
soir,17
long,958
island,57
ice,525
tea,470
cocktail,289
parfait,16
bien,49
excut,2
lime,84
prsent,3
punch,38
dangereus,1
retourn,7
terrass,10
lambianc,13
essay,5
leur,12
style,430
bistro,60
friend,1471
went,1563
momofuku,12
first,1600
open,863
weekend,266
thank,200
min,287
sinc,1152
alreadi,262
line,641
there,1205
manag,424
seat,1221
right,1073
window,153
awkward,83
consid,346
fact,350
outsid,562
eat,2169
read,289
number,202
review,1122
ramen,331
rice,1086
pork,774
bun,287
slushi,9
thought,844
noth,1473
rave,168
about,289
belli,141
use,1072
it,2515
chewi,145
hot,999
compar,348
korean,242
moist,84
tender,317
soft,265
definit,1256
interest,349
hotsour,3
hit,328
take,1349
overwal,1
noodl,669
even,1965
though,1624
impress,569
prok,2
win,66
mind,326
other,344
hype,145
enjoy,1210
steak,921
lobster,289
check,872
fremont,29
st,107
see,1114
oz,113
sirloin,39
medium,326
well,2014
rare,262
tail,31
probabl,1058
lb,40
frozen,165
veggi,381
too,492
kid,474
fill,549
parti,464
gambl,20
earlier,70
night,1448
special,1328
start,726
pm,478
prompt,101
effici,103
ever,583
cool,490
onc,95
bad,1475
expect,1419
ok,1512
breakfast,754
entir,228
pancak,223
item,746
say,1546
ihop,31
such,21
choos,251
drive,287
you,369
closer,51
make,1771
revisit,25
high,663
hope,491
summerlici,40
menu,2355
orecchiett,1
appet,732
and,294
along,208
quit,1067
substanti,17
hearti,38
heavi,161
chees,1590
made,1241
meal,1636
stuf,168
could,1541
bare,182
finish,348
espresso,56
tart,69
rich,130
lack,541
particular,101
delicaci,7
full,627
initi,65
corner,158
near,265
stair,22
pleasant,221
spot,590
settl,61
in,450
waiter,658
found,608
ambianc,297
enough,937
light,394
bright,81
gradual,1
allow,107
ampl,38
talk,287
catch,88
up,439
split,191
bill,427
end,832
weird,232
waitress,838
round,127
half,675
total,321
practic,60
overal,1255
outdid,1
someth,1192
delic,26
less,459
home,625
worth,767
id,918
gotten,129
websit,57
return,514
unless,204
regular,409
caught,38
eye,164
soso,68
comparison,47
ive,1635
around,1150
area,1077
expens,440
plu,338
fusion,67
mexican,419
okay,894
averagebut,2
nice,2803
clean,569
server,1575
slaw,99
without,479
addit,206
dress,343
meat,1236
combin,160
bulgogi,45
plate,863
taco,790
hub,31
bowl,455
skewer,73
price,2479
mid,24
rang,143
dine,679
plenti,272
howev,1176
marin,65
flavor,1426
varieti,354
differ,943
experi,1156
koreanmex,1
find,852
here,1243
roberto,18
north,74
live,474
street,347
feed,49
im,2117
town,342
everyon,455
crave,329
greasi,299
carn,80
asada,76
fri,2396
theyr,340
mani,875
basic,373
weekday,74
lunch,1574
readi,241
away,648
side,1527
drink,2175
combo,253
soupbas,1
saltier,6
prefer,324
top,1049
done,442
especi,500
egg,829
leav,430
green,474
onion,553
forgot,175
disappoint,1002
then,77
karaag,11
takoyaki,12
ball,143
delici,1069
actual,885
pricewis,6
higher,177
joint,287
includ,432
suppos,186
balanc,68
more,302
nearbi,107
outdoor,137
picnic,17
heat,165
bbq,440
rib,405
flavour,359
wing,512
tasti,1076
overpr,297
size,702
potato,773
bean,445
rose,23
son,109
narrow,20
lane,11
way,1489
cannot,105
believ,247
ri,4
ra,15
befor,153
work,908
mayb,983
bite,473
stock,48
irish,46
pub,181
beer,1195
select,788
typic,373
fish,777
chip,607
sheperd,5
pie,242
etc,278
everi,570
come,2644
locat,1332
keep,352
bag,148
counter,255
meet,165
kinda,246
fatti,73
purpos,45
cheap,420
final,419
chanc,185
angela,2
taken,142
aback,3
unassum,9
decor,608
insid,652
walk,764
tshirt,15
short,310
big,984
ton,163
glass,441
cab,23
sav,1
bake,206
polit,97
absent,14
affect,15
hous,519
creami,147
tomato,435
basil,97
almost,557
default,14
ranch,103
list,356
off,233
proport,20
solid,291
to,241
wow,141
visit,1006
def,30
recent,246
sat,412
boyfriend,220
saturday,307
afternoon,150
never,967
ask,1574
bartend,228
girl,270
mermaid,3
red,451
hair,62
busi,983
flirti,1
older,72
gentlemen,11
sit,744
minut,1114
greet,180
flag,62
over,105
often,263
cant,740
rememb,337
wine,625
certain,99
two,1342
instantli,20
annoy,164
appar,132
face,140
brought,401
left,543
anoth,1016
gone,215
complet,284
tab,44
paid,190
out,774
terribl,230
serviceand,1
bell,68
mcdonald,60
smoki,34
casino,194
averag,809
stood,112
particularli,125
memor,117
peruvian,16
pollo,27
brasa,3
addon,17
yellow,44
pepper,353
perfect,377
match,97
monday,99
friday,281
lomo,4
saltado,5
today,279
winterlici,23
thoughth,4
huge,646
amplifi,1
voic,25
fellow,39
diner,218
crowd,432
attract,58
seem,1598
photograph,5
obnoxi,25
brunch,352
far,450
store,226
serious,127
architect,2
idea,178
perimet,3
compact,6
car,107
south,93
truck,35
anywher,103
els,619
outlet,37
center,113
buy,163
lot,1512
thing,1708
fit,111
park,440
overs,11
earli,242
caveat,3
emptor,1
club,227
wrap,283
clearli,110
either,551
microwav,52
warm,362
freshli,64
prepar,334
recommend,769
allgemein,12
besuch,18
war,174
sehr,88
aufschlureich,1
negativen,2
wie,36
postivem,1
sinnkch,1
gutgastraum,1
weit,3
viel,22
stilbrch,1
auf,75
und,313
da,292
bei,44
den,93
preisen,5
zb,4
kugel,3
himbeersorbet,1
silbernenschsselchen,1
bedienung,58
khlwollt,1
verkaufenverhalten,1
bedienen,4
ohn,17
kunden,3
einzugehenchef,1
chefin,1
liefen,1
durch,15
die,429
reihen,1
wen,1
sie,27
einer,18
modeschau,1
mode,11
pressentieren,1
wollensprachen,1
nur,50
mit,110
stammgsten,1
fr,79
ander,8
ein,163
kopfnickenkein,1
nachfrag,2
essen,96
schmecktviel,1
schau,1
um,44
essengro,1
teller,13
wennig,1
drin,5
hohem,1
stand,279
pressentiert,1
groen,11
tellern,1
trapiert,1
abdeckhaubengeschmacklich,1
wand,1
frei,6
pastet,1
al,133
vorspeis,9
vorzglichbachforel,1
schmackhaftgr,1
der,253
kche,22
gut,62
vorallem,1
lauchtart,1
oder,21
frisch,13
brotmir,1
scheckt,1
maismehl,1
verfeinert,1
weibrot,2
salzigem,1
butterhimbeersorbet,1
vorzglich,1
ambient,34
man,239
sollt,16
auch,119
untern,1
weien,1
tischtcher,1
faltenfrei,1
bgeln,1
nicht,174
oberen,1
x,48
tischdeckentrennwnd,1
rahmen,1
schadhaftdi,1
blumenvasen,1
grobltigen,1
lilienblten,1
sagenhaft,1
prsentiertdagegen,1
tischschmuck,1
passt,3
dazublau,1
astern,1
einfach,14
lieblo,4
klein,16
gefss,1
gesteckt,1
hortensien,1
rosen,1
kurz,5
abgeschnitten,1
bechervasen,1
reingestecktab,1
besten,5
krug,1
dem,49
bedienertisch,1
gegenb,6
kcheblumen,1
eng,4
vase,2
gestopft,1
von,48
eleganz,1
kein,33
spur,3
beengent,1
eintrug,1
entsteht,1
armen,1
blumen,1
sauberkeit,13
ordnung,8
bedien,2
brssel,1
werden,18
sofort,3
entferntleer,1
flaschen,2
geschirr,1
gleich,8
gastraum,4
entferntauf,1
reinlichkeit,1
wird,23
groer,1
wert,6
gelegt,1
kennedi,3
public,22
eight,29
mom,161
stroller,7
young,131
babi,105
staff,1155
accommod,113
gear,13
sometim,287
noisi,69
children,53
pizza,1605
mealsiz,1
sandwich,1373
entre,419
vari,57
artichok,45
perhap,202
avoid,138
fork,69
knife,30
thick,183
chew,38
attempt,76
disgust,63
show,387
mastic,2
partner,47
mac,251
n,163
dri,604
porcini,1
mushroom,309
miss,403
book,125
drank,27
cup,278
cream,605
depth,14
kidfriendli,3
day,1136
chang,423
unisex,4
washroom,29
featur,97
loudest,2
hand,407
dryer,4
known,100
took,959
forev,119
airi,20
sporti,2
brown,158
roll,1040
soul,22
cole,38
kettl,12
planet,38
hollywood,29
opinion,202
note,236
new,775
banksvil,2
yelp,325
page,34
yesterday,52
brand,42
brew,86
bea,1
road,119
grand,104
origin,163
intrigu,27
heard,241
downtown,181
sign,203
state,123
small,1397
larger,112
main,418
fast,545
enchilada,100
refri,23
black,217
favorit,425
everyth,809
mention,261
although,554
fianc,49
said,1066
fresh,1154
mish,2
mash,161
previou,104
repurpos,1
orang,138
paint,28
eclect,17
type,382
may,451
knock,67
paper,122
copi,18
handwritten,1
difficult,114
interpret,6
wish,373
print,30
happen,284
blown,60
front,356
contradictori,2
run,334
specif,84
pay,648
clear,118
strang,131
set,363
mean,429
guess,496
sort,259
feel,1083
do,172
chimi,4
sweet,976
refil,277
extrem,269
theyv,75
newrestaur,1
issu,269
handl,88
