serious,299
cannot,159
stand,370
mcdonald,201
never,3327
get,4803
order,8495
right,1223
food,9620
almost,699
alway,708
suck,400
servic,4836
sorri,513
employe,619
sure,960
show,606
hate,227
job,229
way,1565
perform,25
work,1042
use,1166
teen,8
high,404
school,87
rememb,201
ever,1865
take,1918
long,1038
drivethru,43
bitter,47
fact,363
there,1228
lol,100
top,825
off,407
live,338
across,235
street,301
find,764
often,131
not,382
ugh,67
togeth,244
peopl,1925
guy,743
terribl,1263
honestli,236
anyth,799
nice,898
say,2039
place,6407
usual,403
review,1392
talk,603
mess,328
wait,3782
minut,3221
morn,194
two,1550
coffe,436
standard,141
back,4209
less,469
car,208
stori,111
short,270
bunch,105
rude,1110
heartless,1
ignor,334
asshol,30
run,399
compass,4
especi,265
feel,646
belong,34
suitabl,8
shitti,50
establish,359
mother,112
endur,9
extrem,534
humili,19
situat,168
bonjour,1
brioch,2
went,2290
saturday,266
min,850
cane,7
nowher,61
sit,1011
friend,1316
number,202
seat,1247
her,176
ask,4005
would,3879
arriv,981
shed,37
like,4724
basic,291
told,2044
here,1297
tough,158
shit,108
well,1453
guest,283
cancel,110
last,1206
eat,2557
alon,104
go,4832
serv,1502
even,3591
someth,1033
start,894
tell,995
excus,215
time,5207
could,2127
tabl,3015
manag,2461
explain,334
given,443
other,274
felt,464
demean,8
appreci,96
busi,1522
somewher,227
els,838
instead,643
make,1892
arrang,26
eas,8
leav,931
now,300
life,285
call,1631
cri,33
phone,512
embarrass,100
absolut,502
disgust,491
wife,554
good,3569
egg,529
sinc,986
open,811
favorit,168
close,904
home,596
gym,6
howev,652
realli,2063
gotten,179
wors,372
past,350
month,280
hit,141
miss,319
staff,1228
also,1431
sunday,230
march,20
cold,1087
tast,2380
plan,163
biscuit,91
haymak,1
on,287
cracker,34
barrel,29
least,687
consist,178
blech,15
three,490
us,4447
bought,143
gener,249
tao,15
chicken,1948
wing,502
mix,227
veget,212
cantones,11
chow,28
mein,65
bad,2101
disappointingli,2
gross,347
still,1375
move,290
plate,900
one,4526
chunk,72
grab,222
wrist,5
kill,67
meee,1
pleaaaas,1
slam,40
togo,67
contain,148
cat,18
later,836
chew,76
all,789
look,2346
attract,25
soo,15
disturb,26
gag,20
front,561
grandmoth,8
fear,26
factor,22
nd,95
challeng,28
worst,1478
part,402
becuz,2
chines,304
picker,4
trick,27
think,1335
spici,261
dragon,25
best,725
break,109
heart,44
next,887
thi,439
amaz,261
must,307
wrong,798
bud,49
cuz,40
chipmunk,1
want,2564
flip,35
no,399
damn,91
fine,352
meal,1582
had,308
caesar,100
salad,1180
full,516
hot,643
pepper,206
ruin,162
it,2555
snapper,7
embroil,1
render,10
ined,142
disappoint,1427
unfortun,366
overal,272
experi,1672
buffalo,64
blue,100
sat,721
put,930
drink,2266
husband,679
excit,255
amount,305
beer,596
tap,66
fifteen,31
without,591
saw,513
server,1997
tri,2417
hunt,13
bartend,509
down,355
final,1048
realiz,282
keg,20
booth,146
bar,1340
anoth,1541
decis,51
soon,240
possibl,214
waitress,1671
come,2704
then,140
came,2875
apolog,560
simpli,188
said,2718
pick,429
differ,600
anyway,230
took,1865
recognit,10
issu,348
restaur,3421
seem,1101
poorli,119
subpar,99
decent,385
treat,352
breakfast,437
ago,356
specif,100
debit,41
card,521
listen,109
charg,902
credit,262
day,1128
money,1121
account,69
fix,233
incom,5
expect,760
complain,363
actual,795
check,1159
bank,39
